"Timestamp","1.  What is your gender? ","2. What age group do you fall under?","3. What class of seat do you typically travel in during your flights? ","4. During your flights, which devices did you use?  ","5. How frequently did you use each device during your flights?  ","6. Approximately how many megabytes of data did you use per flight for internet purposes?   ","7. Did you connect any USB devices to the system during your flights?  ","7.1. If yes, please specify the type of USB devices used (e.g., charging, data transfer)  ","8. Was your flight domestic or international?","9. What was the duration of your flight?  ","10. How often do you typically travel by air in a year? ","11. Do you have frequent flyer status with any airline?   ","12. What is the primary purpose of your recent air travel?  "
"2024/10/20 7:33:02 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/20 7:33:23 pm EEST","Female","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/20 7:33:51 pm EEST","Male","18-24 years","Economy","None ","Rarely","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/20 7:34:20 pm EEST","Female","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","1-3 hours","Less than 5 times","No","Business"
"2024/10/20 7:34:45 pm EEST","Male","18-24 years","Economy","Smartphone","Frequently","100-500 MB","Yes","Charging ","Domestic","1-3 hours","Less than 5 times","No","Business"
"2024/10/20 7:35:28 pm EEST","Female","18-24 years","Business","Smartphone","Frequently","100-500 MB","Yes","Charging ","International","8-10 hours","Less than 5 times","No","Business"
"2024/10/20 7:35:59 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Charging ","Domestic","1-3 hours","Less than 5 times","No","Business"
"2024/10/20 7:36:27 pm EEST","Female","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","1-3 hours","Less than 5 times","No","Business"
"2024/10/20 7:38:21 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/20 7:39:15 pm EEST","Female","18-24 years","Economy","None ","Rarely","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
