"Timestamp","1.  What is your gender? ","2. What age group do you fall under?","3. What class of seat do you typically travel in during your flights? ","4. During your flights, which devices did you use?  ","5. How frequently did you use each device during your flights?  ","6. Approximately how many megabytes of data did you use per flight for internet purposes?   ","7. Did you connect any USB devices to the system during your flights?  ","7.1. If yes, please specify the type of USB devices used (e.g., charging, data transfer)  ","8. Was your flight domestic or international?","9. What was the duration of your flight?  ","10. How often do you typically travel by air in a year? ","11. Do you have frequent flyer status with any airline?   ","12. What is the primary purpose of your recent air travel?  "
"2024/10/09 8:57:54 pm EEST","Male","25-34 years","Economy","Smartphone","Frequently","100-500 MB","Yes","Earphone ","Domestic","1-3 hours","6-10 times","Yes","Business"
"2024/10/09 8:58:31 pm EEST","Male","25-34 years","Business","Smartphone","Occasionally","0-100 MB","No","","International","8-10 hours","Less than 5 times","Yes","Business"
"2024/10/09 8:59:25 pm EEST","Male","18-24 years","Economy","Smartphone","Rarely","0-100 MB","No","","Domestic","Less than 1 hour","6-10 times","No","Work"
"2024/10/09 9:00:00 pm EEST","Female","25-34 years","Economy","Smartphone","Rarely","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Emergency "
"2024/10/09 9:00:31 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Emergency "
"2024/10/09 9:01:06 pm EEST","Male","25-34 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/09 9:01:54 pm EEST","Male","25-34 years","Business","Smartphone","Frequently","500-1000 MB","Yes","Charging and earphones ","International","8-10 hours","Less than 5 times","No","Business"
"2024/10/09 9:02:28 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","4-6 hours","Less than 5 times","No","Leisure"
"2024/10/09 9:04:19 pm EEST","Male","25-34 years","Business","Smartphone","Occasionally","100-500 MB","Yes","Earphone, charging ","Domestic","4-6 hours","Less than 5 times","No","Business"
"2024/10/09 9:04:56 pm EEST","Female","25-34 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/09 10:01:54 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/09 10:02:52 pm EEST","Female","18-24 years","Economy","Laptop","Occasionally","0-100 MB","Yes","Charging ","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/09 10:04:11 pm EEST","Female","25-34 years","Business","Smartphone;Laptop","Occasionally","100-500 MB","Yes","Earphone, charging ","International","8-10 hours","Less than 5 times","No","Business"
"2024/10/09 10:04:46 pm EEST","Male","25-34 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","6-10 times","No","Business"
"2024/10/09 10:05:39 pm EEST","Male","25-34 years","Business","Smartphone","Frequently","0-100 MB","Yes","Earphone ","Domestic","1-3 hours","Less than 5 times","No","Leisure"
"2024/10/09 10:06:18 pm EEST","Female","18-24 years","Economy","Smartphone","Frequently","100-500 MB","Yes","Earphone ","Domestic","1-3 hours","Less than 5 times","No","Leisure"
"2024/10/09 10:06:50 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/09 10:08:06 pm EEST","Male","25-34 years","Business","Smartphone;Laptop","Frequently","100-500 MB","Yes","Earphone and charging","International","8-10 hours","Less than 5 times","No","Business"
"2024/10/09 10:09:18 pm EEST","Male","25-34 years","First Class","Laptop","Occasionally","100-500 MB","Yes","Charging, earphone ","International","8-10 hours","Less than 5 times","No","Business"
"2024/10/09 10:09:52 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/09 10:10:34 pm EEST","Female","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/09 10:11:24 pm EEST","Female","25-34 years","Economy","Laptop","Rarely","0-100 MB","Yes","Earphone ","Domestic","1-3 hours","Less than 5 times","No","Business"
"2024/10/09 10:12:06 pm EEST","Female","18-24 years","Economy","Smartphone","Rarely","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/09 10:12:54 pm EEST","Female","18-24 years","Economy","None ","Rarely","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/09 10:14:09 pm EEST","Male","25-34 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/10 7:39:58 am EEST","Female","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/10 7:40:54 am EEST","Female","25-34 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/10 7:41:43 am EEST","Female","25-34 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/10 7:42:26 am EEST","Male","18-24 years","Economy","Laptop","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/10 7:43:01 am EEST","Female","18-24 years","Economy","Laptop","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/10 7:43:44 am EEST","Female","25-34 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/10 7:44:17 am EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
